Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA,EMA,RSI,ATR,MACD,MACD_Signal,MACD_Histogram,BollingerB_Lower,BollingerB_Upper
2024-11-17 08:44:00+00:00,90796.1953125,90796.1953125,90796.1953125,90796.1953125,8036352,0.0,0.0,90674.259375,90633.02072684877,81.80923167535265,35.39329787604706,19.080219981551636,-6.442955197019425,25.523175178571062,90475.42355198973,90724.24129176028
2024-11-17 08:45:00+00:00,90762.15625,90762.15625,90762.15625,90762.15625,21123072,0.0,0.0,90703.015625,90645.31934810127,71.6114030435289,35.28809979695549,26.834488901571603,0.21253362269878096,26.62195527887282,90467.82408127881,90751.52513747118
2024-11-17 08:46:00+00:00,90755.234375,90755.234375,90755.234375,90755.234375,16138240,0.0,0.0,90732.296875,90655.78744590115,69.55445510433347,33.098280175142996,32.05179231296643,6.58038536075231,25.471406952214117,90467.33208443213,90772.39525931788
2024-11-17 08:48:00+00:00,90800.1875,90800.1875,90800.1875,90800.1875,83419136,0.0,0.0,90766.25,90669.5398320058,74.99611644578123,34.00820222185916,39.36016487388406,13.136341263378661,26.2238236105054,90465.06669848948,90800.02783276053
2024-11-17 08:50:00+00:00,90792.65625,90792.65625,90792.65625,90792.65625,33144832,0.0,0.0,90781.2859375,90681.26520514811,72.46456129930229,31.98672393349594,44.03676542874018,19.316426096450968,24.720339332289214,90469.18147764669,90820.92477235332
2024-11-17 08:51:00+00:00,90805.578125,90805.578125,90805.578125,90805.578125,3989504,0.0,0.0,90783.1625,90693.10453084829,74.20736920043163,30.538275778617802,48.22973007509427,25.099086892179628,23.13064318291464,90475.71988790181,90840.67464334819
2024-11-17 08:52:00+00:00,90815.7265625,90815.7265625,90815.7265625,90815.7265625,421888,0.0,0.0,90793.8765625,90704.78281957703,75.62117797392628,28.99617257767273,51.774751748744166,30.434219863492537,21.34053188525163,90485.55470329137,90858.34373420863
2024-11-17 08:54:00+00:00,90991.5390625,90991.5390625,90991.5390625,90991.5390625,21897216,0.0,0.0,90841.1375,90732.09293795064,88.43443086126726,40.05356595067318,67.98709349591809,37.94479458997765,30.04229890594044,90464.20726593773,90920.33023406228
2024-11-17 08:55:00+00:00,91020.15625,91020.15625,91020.15625,91020.15625,45481984,0.0,0.0,90885.13125,90759.5275390982,89.48402240277643,39.195575270744826,82.19714152009692,46.7952639760015,35.40187754409542,90451.2561556456,90977.14150060438
2024-11-17 08:56:00+00:00,91044.7109375,91044.7109375,91044.7109375,91044.7109375,88821760,0.0,0.0,90935.5421875,90786.68786275551,90.35979958864569,38.10110681342848,94.35242895761621,56.306696972324445,38.045731985291766,90443.56369687732,91030.03942812268
2024-11-17 08:57:00+00:00,90983.96875,90983.96875,90983.96875,90983.96875,2502656,0.0,0.0,90971.2203125,90805.47651868356,72.85015724509023,39.78801352760991,97.9550303236756,64.63636364259469,33.31866668108091,90445.68643888262,91062.43387361737
2024-11-17 08:58:00+00:00,91022.78125,91022.78125,91022.78125,91022.78125,339968,0.0,0.0,91012.63125,90826.17220738037,76.27703742000834,39.71555449115309,102.75743845578108,72.26057860523197,30.496859850549114,90453.43590086393,91096.43909913607
2024-11-17 09:00:00+00:00,90978.28125,90978.28125,90978.28125,90978.28125,27725824,0.0,0.0,91009.9796875,90840.65878286795,65.2589358585714,40.06992307214349,101.7991264401353,78.16828817221264,23.630838267922655,90476.1540738805,91114.28498861949
2024-11-17 09:01:00+00:00,91001.234375,91001.234375,91001.234375,91001.234375,2002944,0.0,0.0,91006.1953125,90855.95169640433,68.03727556379509,38.805472481364774,101.71922669636842,82.8784758770438,18.840750819324626,90505.09109157274,91129.33390842724
2024-11-17 09:03:00+00:00,91135.15625,91135.15625,91135.15625,91135.15625,0,0.0,0.0,91024.284375,90882.54260627058,79.3037893663612,45.81477682815479,111.18066021111736,88.53891274385852,22.64174746725884,90527.62658844492,91164.14606780506
2024-11-17 09:06:00+00:00,91289.5546875,91289.5546875,91289.5546875,91289.5546875,47300608,0.0,0.0,91085.4015625,90921.30566162577,85.96024936211928,53.79843913006715,129.64313264904195,96.75975672489521,32.88337592414673,90521.18944956892,91235.83242543109
